name,alternativename,primaryvalue,subcategory,category,type,highlight,metric_001,searchterm,notes,notesLong,sourceNames,link,firstsource,secondsource,thirdsource,ID
SAM-e,,1,depression,mental health,compound,,"313,000,000",SAM-e depression,A review of eight studies showed no strong evidence of the effectiveness of SAM-e when taken on its own. More study needed.,,Current Psychiatry Reports,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD011286.pub2/full?highlightAbstract=withdrawn%7Cdepress%7Cdepression%7Ce%7Csam,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD011286.pub2/full?highlightAbstract=withdrawn%7Cdepress%7Cdepression%7Ce%7Csam,https://www.nlm.nih.gov/medlineplus/druginfo/natural/786.html,,145
saw palmetto,,1,prostate-related urinary problems,"urinary, men",plant / herb,,"2,150,000",saw palmetto prostate,No evidence that it improves urinary-tract-related problems. ,,Cochrane,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD001423.pub3/full?highlightAbstract=saw%7Cwithdrawn%7Cpalmett%7Cpalmetto,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD001423.pub3/full?highlightAbstract=saw%7Cwithdrawn%7Cpalmett%7Cpalmetto,,http://www.ncbi.nlm.nih.gov/pubmed/19370565,146
selenium,,1,cancer ,cancer,mineral,,"19,400,000",selenium cancer,Insufficient evidence that selenium lowers cancer risk. ,,Cochrane,http://www.cochrane.org/CD005195/GYNAECA_selenium-for-preventing-cancer,http://www.cochrane.org/CD005195/GYNAECA_selenium-for-preventing-cancer,,,147
silicic acid,,1,Alzheimer's,mental health,compound,OTW,"48,800",silicic acid Alzheimer's,Silicic acid might help to prevent Alzheimer's Disease by decreasing the amount of aluminium in the body. We await more research.,,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/16988476,,,http://www.ncbi.nlm.nih.gov/pubmed/16988476,148
slippery elm,,1,sore throat,infections,plant / herb,,"973,000",slippery elm sore throat,No clinical evidence for sore throats.,,Pediatrics in Review,http://www.researchgate.net/profile/Kathi_Kemper2/publication/274637505_herbs_in_pediatric_and_adolescent_medicine-_gardiner-_peds_in_review_2000/links/55242e490cf2b123c51736e8.pdf,http://www.researchgate.net/profile/Kathi_Kemper2/publication/274637505_herbs_in_pediatric_and_adolescent_medicine-_gardiner-_peds_in_review_2000/links/55242e490cf2b123c51736e8.pdf,,,149
spirulina,,1,"blood pressure, cholesterol",cardio,plant / herb,,"837,000",spirulina blood pressure cholesterol,Very preliminary evidence shows Spirulina reducing blood pressure and lower lipids.,,Journal of Medicinal Food,http://www.ncbi.nlm.nih.gov/pubmed/19298191,,,http://www.ncbi.nlm.nih.gov/pubmed/19298191,150
St John's wort,,4,depression,mental health,plant / herb,,"1,500,000",st john's wort depression,"St John's Wort performs better than a placebo in improving depression symptoms, and not significantly different to antidepressants, which had more side-effects.",,"Cochrane, Systematic Reviews",https://www.cochrane.org/CD000448/DEPRESSN_st.-johns-wort-for-treating-depression.,https://www.cochrane.org/CD000448/DEPRESSN_st.-johns-wort-for-treating-depression.,https://systematicreviewsjournal.biomedcentral.com/articles/10.1186/s13643-016-0325-2,,151
St John's wort,,1,PMS,"reproductive, women",plant / herb,,"249,000",st john's wort PMS,Daily treatment with St. John's wort had no effect on the emotional and physical symptoms of PMS.,,CNS Drugs,http://www.tandfonline.com/doi/abs/10.3109/0167482X.2010.538102#.VcoSgJNVhBc,http://www.tandfonline.com/doi/abs/10.3109/0167482X.2010.538102#.VcoSgJNVhBc,,,152
taurine,,1,"weight loss, cholesterol","general health, cardio",compound,,"1,860,000",taurine weight loss,No human trials.,,PubMed,https://www.ncbi.nlm.nih.gov/pubmed/15221507,,,https://www.ncbi.nlm.nih.gov/pubmed/15221507,153
TMG ,trimethylglycine,1,metabolism,general health,compound,,"182,000",tmg metabolism,No significant effect on metabolism in humans. ,,Schwab 2002,http://www.ncbi.nlm.nih.gov/pubmed/12399266,,,http://www.ncbi.nlm.nih.gov/pubmed/12399266,154
tryptophan,,3,depression in women,"mental health, women",compound,,"233,000",tryptophan 5-HTP depression,"Tryptophan and 5-HTP might alleviate depression, but the studies conducted are unreliable, and the safety of the substances is questionable. ",,Cochrane,http://www.cochrane.org/CD003198/DEPRESSN_tryptophan-and-5-hydroxytryptophan-for-depression,http://www.cochrane.org/CD003198/DEPRESSN_tryptophan-and-5-hydroxytryptophan-for-depression,,,155
turmeric,curcumin,2,cancer,cancer,plant / herb,OTW,"2,790,000",turmeric curcumin cancer,"Might have anti-cancer effects, particularly on colon and pancreatic cancer, cervical neoplasia and Barrets metaplasia. ",,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/20214562,,,http://www.ncbi.nlm.nih.gov/pubmed/20214562,156
turmeric,curcumin,3,"peptic ulcer, ulcerative colitis ",digestion,plant / herb,OTW,"857,000",turmeric peptic ulcer colitis,"May be an effective therapy for peptic ulcers and ulcerative colitis when combined with conventional medications. However, larger trials are needed. ",,Cochrane,http://www.cochrane.org/CD008424/IBD_curcumin-for-maintenance-of-remission-in-ulcerative-colitis,http://www.cochrane.org/CD008424/IBD_curcumin-for-maintenance-of-remission-in-ulcerative-colitis,,,157
turmeric,curcumin,2,depression,mental health,plant/herb,,"10,700,000",turmeric depression,"May have benefits. However, it has poor bioavailability. 9-20 teaspoons daily would be required to get the desired effect.",,"Journal of the American Medical Directors Association, Journal of Affective Disorders, Phytotherapy Research, European Neuropsychopharmacology, Journal of Clinical Pharmacology,",http://onlinelibrary.wiley.com/doi/10.1002/ptr.5524/full,,"http://onlinelibrary.wiley.com/doi/10.1002/ptr.5524/full
http://www.sciencedirect.com/science/article/pii/S1525861016306752","http://www.sciencedirect.com/science/article/pii/S0165032714003620
http://onlinelibrary.wiley.com/doi/10.1002/ptr.5025/full
http://www.sciencedirect.com/science/article/pii/S0924977X14003265
http://journals.lww.com/psychopharmacology/Abstract/2015/08000
http://journals.lww.com/psychopharmacology/Abstract/2015/08000/Chronic_Supplementation_of_Curcumin_Enhances_the.9.aspx",158
turmeric,curcumin,2,memory,cognition,plant / herb,,"1,200,000",turmeric curcumin memory,"A high quality, long-term (18 months), but small study (40 subjects) found that 90mg of curcumin twice daily improved memory in adults without dementia. ",,American Journal of Geriatric Psychiatry,https://www.sciencedirect.com/science/article/pii/S1064748117305110,,,https://www.sciencedirect.com/science/article/pii/S1064748117305110,159
L-tyrosine,,4,"alertness, wakefulness, memory",cognition,compound,,"49,700",tyrosine alertness wakefulness memory,Evidence suggests that tyrosine intake slightly improves working memory and information processing in healthy adults under strain. ,,Pharmacology Biochemistry and Behaviour,http://www.sciencedirect.com/science/article/pii/S0091305715000945,,http://www.sciencedirect.com/science/article/pii/S0091305715000945,,160
L-tyrosine,,3,depression,mental health,compound,,"4,830,000",tyrosine mental health,"Tyrosine may help with mental health problems by maintaining neurotransmitters, which affect mood.",,Pharmacology Biochemistry and Behaviour,http://www.sciencedirect.com/science/article/pii/S0091305715000945,,http://www.sciencedirect.com/science/article/pii/S0091305715000945,,161
valerian,,1,anxiety,mental health,plant / herb,,"2,310,000",valerian anxiety,One study found no difference between valerian and placebo in the treatment of anxiety. Research using larger samples is required. ,,Cochrane,http://www.cochrane.org/CD004515/DEPRESSN_valerian-for-anxiety-disorders,http://www.cochrane.org/CD004515/DEPRESSN_valerian-for-anxiety-disorders,,,162
valerian,,0,insomnia,mental health,plant / herb,,"1,140,000",valerian insomnia,HARMFUL? No significant differences between valerian and placebo in the treatment of insomnia. Valerian might have a number of adverse side effects. ,,Sleep Medicine Reviews,http://www.sciencedirect.com/science/article/pii/S1087079214001476,,http://www.sciencedirect.com/science/article/pii/S1087079214001476,,163
vitamin A,,4,"child mortality, diarrhea, measles","general health, infections",vitamin,,"45,600,000",vitamin A child death,"Reduces overall risk of death and death due to diarrhoea by 12%. Vitamin A does not specifically reduce death due to measles, respiratory infections, or meningitis, but it can reduce new occurrences of diarrhoea and measles.",,"Cochrane, WHO",http://www.cochrane.org/CD008524/BEHAV_vitamin-supplementation-preventing-disease-and-death-children-aged-six-months-five-years,http://www.cochrane.org/CD008524/BEHAV_vitamin-supplementation-preventing-disease-and-death-children-aged-six-months-five-years,http://www.who.int/bulletin/volumes/88/9/09-068080/en/,,164
vitamin A,retinold,0,birth defects,children,vitamin,,"635,000",vitamin A retinol birth defects,"HARMFUL. High doses (10,000 ID/per day) can cause birth defects in human and animal infants.",,PubMed,http://www.ncbi.nlm.nih.gov/pubmed/9431575,,,http://www.ncbi.nlm.nih.gov/pubmed/9431575,165
vitamin B,,2,Alzheimer's,mental health,vitamin,,"16,200,000",vitamin B Alzheimer's,Vitamin B treatment slows brain shrinkage and significantly reduces brain cell death.,,Proceedings of the National Academy of Sciences of the United States of America,http://www.pnas.org/content/110/23/9523.short,,,http://www.pnas.org/content/110/23/9523.short,166
Vitamin B,,4,schizophrenia,mental health,vitamin,,"5,580,000",vitamin B schizophrenia,A review of 18 studies found that vitamin B reduced psychiatric symptoms significantly more than in a control group.,,Psychological Medicine,https://www.cambridge.org/core/journals/psychological-medicine/article/div-classtitlethe-effects-of-vitamin-and-mineral-supplementation-on-symptoms-of-schizophrenia-a-systematic-review-and-meta-analysisdiv/3CFE6C3B0FED2ED04B9968AD2660EA08,,https://www.cambridge.org/core/journals/psychological-medicine/article/div-classtitlethe-effects-of-vitamin-and-mineral-supplementation-on-symptoms-of-schizophrenia-a-systematic-review-and-meta-analysisdiv/3CFE6C3B0FED2ED04B9968AD2660EA08,,167
vitamin B2,riboflavin,2,migraine  ,pain,vitamin,OTW,"683,000",vitamin B2 migraine,May reduce the frequency of migraines.,,Neurological Science,http://link.springer.com/article/10.1007/s10072-014-1755-z#page-1,,,http://link.springer.com/article/10.1007/s10072-014-1755-z#page-1,168
vitamin B3,,2,skin cancer ,cancer,vitamin,,"3,160,000",vitamin B3 skin cancer,May prevent skin cancer.,,"International Journal of Cancer, Photodermatology, Photoimmunology & Photomedicine, CA: A Cancer Journal for Clinicians, New England Journal of Medicine",http://onlinelibrary.wiley.com/wol1/doi/10.1002/ijc.30630/full,,http://onlinelibrary.wiley.com/wol1/doi/10.1002/ijc.30630/full,"http://www.nejm.org/doi/full/10.1056/NEJMoa1506197#t=article
http://onlinelibrary.wiley.com/doi/10.1111/phpp.12328/full
http://onlinelibrary.wiley.com/doi/10.3322/caac.21299/full",169
vitamin B8,,3,"OCD, panic disorder",mental health,vitamin,OTW,"94,200",vitamin B8 panic ocd,"Several small studies suggest anti-anxiety effects, but more research is needed.  ",,Journal of Clinical Pharmacology,"http://journals.lww.com/psychopharmacology/Abstract/2001/06000/Double_Blind,_Controlled,_Crossover_Trial_of.14.aspx",,,"http://journals.lww.com/psychopharmacology/Abstract/2001/06000/Double_Blind,_Controlled,_Crossover_Trial_of.14.aspx",170
vitamin B8,,2,depression,mental health,vitamin,,"860,000",vitamin B8 depression,The evidence for vitamin B8 (also known as Inositol) as a treatment for depression is unclear.,,Cochrane,http://www.cochrane.org/CD004049/DEPRESSN_inositol-for-depression,http://www.cochrane.org/CD004049/DEPRESSN_inositol-for-depression,,,171
vitamin C,,4,colds,infections,vitamin,,"9,430,000",vitamin C colds,"Vitamin C supplementation does not reduce the incidence of colds in the general population, although it can shorten their duration. For those under extreme physical stress (e.g. marathon runners) vitamin C appears to half the risk of developing a cold. ",,Cochrane,http://www.cochrane.org/CD000980/ARI_vitamin-c-for-preventing-and-treating-the-common-cold,http://www.cochrane.org/CD000980/ARI_vitamin-c-for-preventing-and-treating-the-common-cold,,,172
vitamin D,,1,cancer,cancer,vitamin,,"166,000,000",vitamin D cancer,"One of the largest & most rigorous trials ever conducted (25,871 participants over 5 years) found that vitamin D supplementation did not result in lower incidence of invasive cancers. ",,"PubMed, New England Journal of Medicine",http://www.ncbi.nlm.nih.gov/pubmed/20164683,,,"http://www.ncbi.nlm.nih.gov/pubmed/20164683
https://www.nejm.org/doi/full/10.1056/NEJMoa1809944
http://www.ncbi.nlm.nih.gov/pubmed/17556697",173
vitamin D,,3,asthma attacks,respiratory,vitamin,OTW,"37,100,000",vitamin D asthma,Some protection against severe asthma attacks in adults with mild to moderate asthma. Further trials focusing on children and people who experience frequent severe asthma attacks are needed.,,Cochrane,http://www.cochrane.org/CD011511/AIRWAYS_vitamin-d-prevent-asthma-attacks,http://www.cochrane.org/CD011511/AIRWAYS_vitamin-d-prevent-asthma-attacks,,,174
vitamin D,,4,bone health,musculoskeletal,vitamin,,"80,200,000",vitamin D bone health,It appears that supplementation for those with vitamin D deficiency increases bone density and helps to prevent fractures. ,,American Journal of Clinical Nutrition,http://www.cochrane.org/CD006944/MUSKEL_vitamin-d-for-improving-bone-density-in-children,http://www.cochrane.org/CD006944/MUSKEL_vitamin-d-for-improving-bone-density-in-children,http://www.ncbi.nlm.nih.gov/pubmed/18689393,http://www.sciencedirect.com/science/article/pii/S1568997213000402,175
vitamin D,,1,"depression, mood disorders",mental health,vitamin,,"27,500,000",vitamin D depression mood,"Low levels of vitamin D in the body are associated with depression, but whether or not vitamin D deficiency actually causes depression is uncertain. ",,British Journal of Psychology,http://bjp.rcpsych.org/content/202/2/100.short,,http://bjp.rcpsych.org/content/202/2/100.short,,176
vitamin D,,2,diabetes,diabetes,vitamin,,"154,000,000",vitamin D diabetes,The association between vitamin D status and diabetes is unclear. ,,Annals of Internal Medicine,http://www.ncbi.nlm.nih.gov/pubmed/20194237,,http://www.ncbi.nlm.nih.gov/pubmed/20194237,,177
vitamin D,,3,flu,infections,vitamin,,"31,800,000",vitamin d flu,"In one trial, 10.8% of children taking vitamin D(3) contracted influenza, compared with 18.6% of children in the placebo group. It also reduced the number of flu-related asthma attacks. ",,Urashima et al. 2010,http://www.ncbi.nlm.nih.gov/pubmed/20219962,,,http://www.ncbi.nlm.nih.gov/pubmed/20219962,178
vitamin D,,4,"general health, all-cause mortality",general health,vitamin,,"44,500,000",vitamin D health mortality,"A review suggests that vitamin D3 may reduce mortality, showing that about 150 participants need to be treated over five years for one additional life to be saved. It found some evidence that vitamin D3 seems to decrease mortality in elderly people not dependent on help or living in institutional care.
",,Cochrane,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD007470.pub3/full?highlightAbstract=mortality%7Cwithdrawn%7Cd%7Cvitamin%7Cmortal,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD007470.pub3/full?highlightAbstract=mortality%7Cwithdrawn%7Cd%7Cvitamin%7Cmortal,http://ebm.bmj.com/content/13/2/47.full,,179
vitamin D,,1,cardiovascular disease,cardio,vitamin,,"109,000,000",vitamin D heart disease,"One of the largest & most rigorous trials ever conducted (over 83,000 participants) found that vitamin D supplementation did not result in lower incidence of cardiovascular events. ",,"JAMA, New England Journal of Medicine",https://jamanetwork.com/journals/jamacardiology/article-abstract/2735646,,,https://www.nejm.org/doi/full/10.1056/NEJMoa1809944,180
vitamin E,alpha tocopherol ,0,mortality,general health,vitamin,,"62,600,000",vitamin E mortality,"HARMFUL? High dosages might increase all-cause mortality. Small amounts can be beneficial, but the line between helpful and dangerous is unclear at this stage. ",,American College of Physicians,http://annals.org/article.aspx?articleid=718049,,http://annals.org/article.aspx?articleid=718049,,181
vitamin E,alpha tocopherol ,2,Alzheimer's disease,neurological,vitamin,,"29,000,000",vitamin e Alzheimer,No to slight evidence.,,Cochrane,http://www.cochrane.org/CD002854/DEMENTIA_use-vitamin-e-treatment-mild-cognitive-impairment-and-alzheimers-disease-ad,http://www.cochrane.org/CD002854/DEMENTIA_use-vitamin-e-treatment-mild-cognitive-impairment-and-alzheimers-disease-ad,,,182
Vitamin K,,1,cardiovascular disease,cardio,vitamin,,"65,600,000",vitamin k heart disease,More evidence needed.,,Cochrane,http://www.cochrane.org/CD011148/VASC_vitamin-k-supplementation-prevent-cardiovascular-disease,http://www.cochrane.org/CD011148/VASC_vitamin-k-supplementation-prevent-cardiovascular-disease,,,183
Vitamin K2,,3,prostate cancer,"cancer, men",vitamin,,"1,470,000",vitamin k2 prostate cancer,No conclusive evidence.,,"American Journal of Clinical Nutrition, OncoTarget",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5593683/,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5593683/,http://www.ajcn.org/cgi/content/abstract/87/4/985,184
vitamin K2,,4,osteoporosis,musculoskeletal,vitamin,,"473,000",vitamin K2 osteoporosis,"Vitamin K2 has repeatedly been shown to improve bone strength, particularly in post-menopausal women. ",,Osteoporosis International,http://link.springer.com/article/10.1007/s00198-007-0337-9#page-1,,,http://link.springer.com/article/10.1007/s00198-007-0337-9#page-1,185
xylitol,,4,middle ear infection,infections,plant / herb,,"311,000",xylitol ear infection,"Was found to reduce middle ear infections in otherwise healthy children by 8% (from 30% to 22%). It was administered via chewing gum, lozenges or syrup. Other studies have had similar positive results.",,"Cochrane, Medicine",http://www.cochrane.org/CD007095/ARI_xylitol-sugar-supplement-preventing-middle-ear-infection-children-12-years-age,http://www.cochrane.org/CD007095/ARI_xylitol-sugar-supplement-preventing-middle-ear-infection-children-12-years-age,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4753897/,,186
xylitol,,2,teeth,general health,compound,,"3,080,000",xylitol teeth,"Some evidence that xylitol in toothpaste might reduce tooth decay by 13% over 3 years. The studies have been of low quality, though. ",,Cochrane,http://www.cochrane.org/CD010743/ORAL_can-xylitol-used-in-products-like-sweets-candy-chewing-gum-and-toothpaste-help-prevent-tooth-decay-in-children-and-adults,http://www.cochrane.org/CD010743/ORAL_can-xylitol-used-in-products-like-sweets-candy-chewing-gum-and-toothpaste-help-prevent-tooth-decay-in-children-and-adults,,,187
zinc,,4,colds,"infections, respiratory",mineral,,"2,540,000",zinc colds,"Oral zinc formulations may shorten symptoms of common cold infections. However, large high-quality trials are needed. Side effects can be common.",,CMAJ,http://www.cmaj.ca/content/184/10/E551.short,,http://www.cmaj.ca/content/184/10/E551.short,,188
zinc,,5,pneumonia (children),infections,mineral,,"4,370,000",zinc pneumonia,Zinc supplementation in children is associated with a reduction in the incidence and prevalence of pneumonia.,,"Cochrane, WHO",http://www.cochrane.org/CD005978/ARI_zinc-supplementation-prevention-pneumonia-children-aged-two-59-months,http://www.cochrane.org/CD005978/ARI_zinc-supplementation-prevention-pneumonia-children-aged-two-59-months,http://www.who.int/elena/titles/bbc/zinc_pneumonia_children/en/,,189
